@relation rationale
@attribute sentence string
@attribute classification string
@data
'This bug was fixed in the package linux-gke - 4.4.0-1014.14\n---------------\nlinux-gke (4.4.0-1014.14) xenial; urgency=low\n\xa0\xa0* linux-gke: 4.4.0-1014.14 -proposed tracker (LP: #1691186)\n\xa0\xa0* linux xenial derivatives fail to build (LP: #1691814)\n\xa0\xa0\xa0\xa0- [Packaging] Set do_tools_common in common vars\n\xa0\xa0\xa0\xa0- [Packaging] Put hooks.mk file in the right place\n\xa0\xa0*  linux-aws/linux-gke incorrectly producing an empty linux-*-source package-*\n\xa0\xa0\xa0\xa0(LP: #1690183)\n\xa0\xa0\xa0\xa0- [Packaging] drop linux-gke-source-* package\n\xa0\xa0* linux-aws/linux-gke incorrectly producing and using linux-*-tools-\n\xa0\xa0\xa0\xa0common/linux-*-cloud-tools-common (LP: #1688579)\n\xa0\xa0\xa0\xa0- [Config] linux-tools-* linux-cloud-tools-* share -common packages with linux\n\xa0\xa0[ Ubuntu: 4.4.0-79.100 ]\n\xa0\xa0* linux: 4.4.0-79.100 -proposed tracker (LP: #1691180)\n\xa0\xa0* linux-aws/linux-gke incorrectly producing and using linux-*-tools-\n\xa0\xa0\xa0\xa0common/linux-*-cloud-tools-common (LP: #1688579)\n\xa0\xa0\xa0\xa0- [Config] make linux-tools-common and linux-cloud-tools-common provide linux-\n\xa0\xa0\xa0\xa0\xa0\xa0gke versions\n\xa0\xa0\xa0\xa0- [Config] make linux-tools-common and linux-cloud-tools-common provide linux-\n\xa0\xa0\xa0\xa0\xa0\xa0aws versions\n\xa0\xa0\xa0\xa0- [Packaging] prevent linux-*-tools-common from being produced from non linux\n\xa0\xa0\xa0\xa0\xa0\xa0packages\n\xa0\xa0* CVE-2017-0605\n\xa0\xa0\xa0\xa0- tracing: Use strlcpy() instead of strcpy() in __trace_find_cmdline()\n\xa0\xa0* i915-bpo crashes on external hdmi input (LP: #1580272)\n\xa0\xa0\xa0\xa0- SAUCE: i915_bpo: Silence the warning about watermark entries not changing\n\xa0\xa0* Kernel panics on Xenial when using cgroups and strict CFS limits\n\xa0\xa0\xa0\xa0(LP: #1687512)\n\xa0\xa0\xa0\xa0- sched/fair: Initialize throttle_count for new task-groups lazily\n\xa0\xa0\xa0\xa0- sched/fair: Do not announce throttled next buddy in dequeue_task_fair()\n\xa0\xa0* bonding - mlx5 - speed changed to 0 after changing ring size  (LP: #1687877)\n\xa0\xa0\xa0\xa0- bonding: allow notifications for bond_set_slave_link_state\n\xa0\xa0* Xenial update to 4.4.67 stable release (LP: #1689296)\n\xa0\xa0\xa0\xa0- timerfd: Protect the might cancel mechanism proper\n\xa0\xa0\xa0\xa0- Handle mismatched open calls\n\xa0\xa0\xa0\xa0- ASoC: intel: Fix PM and non-atomic crash in bytcr drivers\n\xa0\xa0\xa0\xa0- ALSA: ppc/awacs: shut up maybe-uninitialized warning\n\xa0\xa0\xa0\xa0- drbd: avoid redefinition of BITS_PER_PAGE\n\xa0\xa0\xa0\xa0- mtd: avoid stack overflow in MTD CFI code\n\xa0\xa0\xa0\xa0- net: tg3: avoid uninitialized variable warning\n\xa0\xa0\xa0\xa0- netlink: Allow direct reclaim for fallback allocation\n\xa0\xa0\xa0\xa0- IB/qib: rename BITS_PER_PAGE to RVT_BITS_PER_PAGE\n\xa0\xa0\xa0\xa0- IB/ehca: fix maybe-uninitialized warnings\n\xa0\xa0\xa0\xa0- ext4: require encryption feature for EXT4_IOC_SET_ENCRYPTION_POLICY\n\xa0\xa0\xa0\xa0- ext4 crypto: revalidate dentry after adding or removing the key\n\xa0\xa0\xa0\xa0- ext4 crypto: use dget_parent() in ext4_d_revalidate()\n\xa0\xa0\xa0\xa0- ext4/fscrypto: avoid RCU lookup in d_revalidate\n\xa0\xa0\xa0\xa0- nfsd4: minor NFSv2/v3 write decoding cleanup\n\xa0\xa0\xa0\xa0- nfsd: stricter decoding of write-like NFSv2/v3 ops\n\xa0\xa0\xa0\xa0- dm ioctl: prevent stack leak in dm ioctl call\n\xa0\xa0\xa0\xa0- Linux 4.4.67\n\xa0\xa0* Precision Rack failed to resume from S4 (LP: #1686061)\n\xa0\xa0\xa0\xa0- x86 / hibernate: Use hlt_play_dead() when resuming from hibernation\n\xa0\xa0\xa0\xa0- x86/boot: Split out kernel_ident_mapping_init()\n\xa0\xa0\xa0\xa0- x86/power/64: Always create temporary identity mapping correctly\n\xa0\xa0* Xenial update to 4.4.66 stable release (LP: #1688505)\n\xa0\xa0\xa0\xa0- f2fs: do more int...','relevant'
'This bug is awaiting verification that the kernel in -proposed solves the problem.','relevant'
'Please test the kernel and update this bug with the results.','irrelevant'
"If the problem is solved, change the tag 'verification-needed-xenial' to 'verification-done-xenial'.",'irrelevant'
"If the problem still exists, change the tag 'verification-needed-xenial' to 'verification-failed-xenial'.",'irrelevant'
'If verification is not done by 5 working days from today, this fix will be dropped from the source code, and this bug will be closed.','irrelevant'
'See https://wiki.ubuntu.com/Testing/EnableProposed for documentation how to enable and use -proposed.','irrelevant'
'Thank you!','irrelevant'
'Issue is now fixed:\n$ sudo apt-get install linux-tools-generic\n[...]\n$ sudo apt-get install linux-tools-gke\nReading package lists...','relevant'
'Done\nBuilding dependency tree\nReading state information...','irrelevant'
'Done\nThe following additional packages will be installed:\n\xa0\xa0linux-gke-tools-4.4.0-1014 linux-tools-4.4.0-1014-gke\nThe following NEW packages will be installed:\n\xa0\xa0linux-gke-tools-4.4.0-1014 linux-tools-4.4.0-1014-gke linux-tools-gke\n0 upgraded, 3 newly installed, 0 to remove and 11 not upgraded.','irrelevant'
'Need to get 703 kB of archives.','irrelevant'
'After this operation, 2212 kB of additional disk space will be used.','irrelevant'
'Do you want to continue?','irrelevant'
'[Y/n]\nGet:1 http://de.archive.ubuntu.com/ubuntu xenial-proposed/universe amd64 linux-gke-tools-4.4.0-1014 amd64 4.4.0-1014.14 [698 kB]\nGet:2 http://de.archive.ubuntu.com/ubuntu xenial-proposed/universe amd64 linux-tools-4.4.0-1014-gke amd64 4.4.0-1014.14 [2604 B]\nGet:3 http://de.archive.ubuntu.com/ubuntu xenial-proposed/universe amd64 linux-tools-gke amd64 4.4.0.1014.16 [2370 B]\nFetched 703 kB in 0s (1828 kB/s)\nSelecting previously unselected package linux-gke-tools-4.4.0-1014.','irrelevant'
'(Reading database ... 70265 files and directories currently installed.)','irrelevant'
'Preparing to unpack .../linux-gke-tools-4.4.0-1014_4.4.0-1014.14_amd64.deb ...\nUnpacking linux-gke-tools-4.4.0-1014 (4.4.0-1014.14) ...','irrelevant'
'Selecting previously unselected package linux-tools-4.4.0-1014-gke.','irrelevant'
'Preparing to unpack .../linux-tools-4.4.0-1014-gke_4.4.0-1014.14_amd64.deb ...\nUnpacking linux-tools-4.4.0-1014-gke (4.4.0-1014.14) ...','irrelevant'
'Selecting previously unselected package linux-tools-gke.','irrelevant'
'Preparing to unpack .../linux-tools-gke_4.4.0.1014.16_amd64.deb ...\nUnpacking linux-tools-gke (4.4.0.1014.16) ...','irrelevant'
'Setting up linux-gke-tools-4.4.0-1014 (4.4.0-1014.14) ...','irrelevant'
'Setting up linux-tools-4.4.0-1014-gke (4.4.0-1014.14) ...','irrelevant'
'Setting up linux-tools-gke (4.4.0.1014.16) ...\n$ sudo apt-get install linux-tools-aws\nReading package lists...','irrelevant'
'Done\nBuilding dependency tree\nReading state information...','irrelevant'
'Done\nThe following additional packages will be installed:\n\xa0\xa0linux-aws-tools-4.4.0-1018 linux-tools-4.4.0-1018-aws\nThe following NEW packages will be installed:\n\xa0\xa0linux-aws-tools-4.4.0-1018 linux-tools-4.4.0-1018-aws linux-tools-aws\n0 upgraded, 3 newly installed, 0 to remove and 11 not upgraded.','irrelevant'
'Need to get 703 kB of archives.','irrelevant'
'After this operation, 2232 kB of additional disk space will be used.','irrelevant'
'Do you want to continue?','irrelevant'
'[Y/n]\nGet:1 http://de.archive.ubuntu.com/ubuntu xenial-proposed/main amd64 linux-aws-tools-4.4.0-1018 amd64 4.4.0-1018.27 [698 kB]\nGet:2 http://de.archive.ubuntu.com/ubuntu xenial-proposed/main amd64 linux-tools-4.4.0-1018-aws amd64 4.4.0-1018.27 [2598 B]\nGet:3 http://de.archive.ubuntu.com/ubuntu xenial-proposed/main amd64 linux-tools-aws amd64 4.4.0.1018.21 [2278 B]\nFetched 703 kB in 0s (1891 kB/s)\nSelecting previously unselected package linux-aws-tools-4.4.0-1018.','irrelevant'
'(Reading database ... 70289 files and directories currently installed.)','irrelevant'
'Preparing to unpack .../linux-aws-tools-4.4.0-1018_4.4.0-1018.27_amd64.deb ...\nUnpacking linux-aws-tools-4.4.0-1018 (4.4.0-1018.27) ...','irrelevant'
'Selecting previously unselected package linux-tools-4.4.0-1018-aws.','irrelevant'
'Preparing to unpack .../linux-tools-...','irrelevant'
'This bug was fixed in the package linux - 4.4.0-79.100\n---------------\nlinux (4.4.0-79.100) xenial; urgency=low\n\xa0\xa0* linux: 4.4.0-79.100 -proposed tracker (LP: #1691180)\n\xa0\xa0* linux-aws/linux-gke incorrectly producing and using linux-*-tools-\n\xa0\xa0\xa0\xa0common/linux-*-cloud-tools-common (LP: #1688579)\n\xa0\xa0\xa0\xa0- [Config] make linux-tools-common and linux-cloud-tools-common provide linux-\n\xa0\xa0\xa0\xa0\xa0\xa0gke versions\n\xa0\xa0\xa0\xa0- [Config] make linux-tools-common and linux-cloud-tools-common provide linux-\n\xa0\xa0\xa0\xa0\xa0\xa0aws versions\n\xa0\xa0\xa0\xa0- [Packaging] prevent linux-*-tools-common from being produced from non linux\n\xa0\xa0\xa0\xa0\xa0\xa0packages\n\xa0\xa0* CVE-2017-0605\n\xa0\xa0\xa0\xa0- tracing: Use strlcpy() instead of strcpy() in __trace_find_cmdline()\n\xa0\xa0* i915-bpo crashes on external hdmi input (LP: #1580272)\n\xa0\xa0\xa0\xa0- SAUCE: i915_bpo: Silence the warning about watermark entries not changing\n\xa0\xa0* Kernel panics on Xenial when using cgroups and strict CFS limits\n\xa0\xa0\xa0\xa0(LP: #1687512)\n\xa0\xa0\xa0\xa0- sched/fair: Initialize throttle_count for new task-groups lazily\n\xa0\xa0\xa0\xa0- sched/fair: Do not announce throttled next buddy in dequeue_task_fair()\n\xa0\xa0* bonding - mlx5 - speed changed to 0 after changing ring size  (LP: #1687877)\n\xa0\xa0\xa0\xa0- bonding: allow notifications for bond_set_slave_link_state\n\xa0\xa0* Xenial update to 4.4.67 stable release (LP: #1689296)\n\xa0\xa0\xa0\xa0- timerfd: Protect the might cancel mechanism proper\n\xa0\xa0\xa0\xa0- Handle mismatched open calls\n\xa0\xa0\xa0\xa0- ASoC: intel: Fix PM and non-atomic crash in bytcr drivers\n\xa0\xa0\xa0\xa0- ALSA: ppc/awacs: shut up maybe-uninitialized warning\n\xa0\xa0\xa0\xa0- drbd: avoid redefinition of BITS_PER_PAGE\n\xa0\xa0\xa0\xa0- mtd: avoid stack overflow in MTD CFI code\n\xa0\xa0\xa0\xa0- net: tg3: avoid uninitialized variable warning\n\xa0\xa0\xa0\xa0- netlink: Allow direct reclaim for fallback allocation\n\xa0\xa0\xa0\xa0- IB/qib: rename BITS_PER_PAGE to RVT_BITS_PER_PAGE\n\xa0\xa0\xa0\xa0- IB/ehca: fix maybe-uninitialized warnings\n\xa0\xa0\xa0\xa0- ext4: require encryption feature for EXT4_IOC_SET_ENCRYPTION_POLICY\n\xa0\xa0\xa0\xa0- ext4 crypto: revalidate dentry after adding or removing the key\n\xa0\xa0\xa0\xa0- ext4 crypto: use dget_parent() in ext4_d_revalidate()\n\xa0\xa0\xa0\xa0- ext4/fscrypto: avoid RCU lookup in d_revalidate\n\xa0\xa0\xa0\xa0- nfsd4: minor NFSv2/v3 write decoding cleanup\n\xa0\xa0\xa0\xa0- nfsd: stricter decoding of write-like NFSv2/v3 ops\n\xa0\xa0\xa0\xa0- dm ioctl: prevent stack leak in dm ioctl call\n\xa0\xa0\xa0\xa0- Linux 4.4.67\n\xa0\xa0* Precision Rack failed to resume from S4 (LP: #1686061)\n\xa0\xa0\xa0\xa0- x86 / hibernate: Use hlt_play_dead() when resuming from hibernation\n\xa0\xa0\xa0\xa0- x86/boot: Split out kernel_ident_mapping_init()\n\xa0\xa0\xa0\xa0- x86/power/64: Always create temporary identity mapping correctly\n\xa0\xa0* Xenial update to 4.4.66 stable release (LP: #1688505)\n\xa0\xa0\xa0\xa0- f2fs: do more integrity verification for superblock\n\xa0\xa0\xa0\xa0- xc2028: unlock on error in xc2028_set_config()\n\xa0\xa0\xa0\xa0- ARM: OMAP2+: timer: add probe for clocksources\n\xa0\xa0\xa0\xa0- clk: sunxi: Add apb0 gates for H3\n\xa0\xa0\xa0\xa0- crypto: testmgr - fix out of bound read in __test_aead()\n\xa0\xa0\xa0\xa0- drm/amdgpu: fix array out of bounds\n\xa0\xa0\xa0\xa0- ext4: check if in-inode xattr is corrupted in ext4_expand_extra_isize_ea()\n\xa0\xa0\xa0\xa0- md:raid1: fix a dead loop when read from a WriteMostly disk\n\xa0\xa0\xa0\xa0- MIPS: Fix crash registers on non-crashing CPUs\n\xa0\xa0\xa0\xa0- net: cavium: liquidio: Avoid dma_unmap_single on uninitialized ndata\n\xa0\xa0\xa0\xa0- net_sched: close another race condition in tcf_mirre...','relevant'
'This bug was fixed in the package linux-aws - 4.4.0-1018.27\n---------------\nlinux-aws (4.4.0-1018.27) xenial; urgency=low\n\xa0\xa0* linux-aws: 4.4.0-1018.27 -proposed tracker (LP: #1691184)\n\xa0\xa0* linux xenial derivatives fail to build (LP: #1691814)\n\xa0\xa0\xa0\xa0- [Packaging] Set do_tools_common in common vars\n\xa0\xa0\xa0\xa0- [Packaging] Do not build tools-common\n\xa0\xa0*  linux-aws/linux-gke incorrectly producing an empty linux-*-source package-*\n\xa0\xa0\xa0\xa0(LP: #1690183)\n\xa0\xa0\xa0\xa0- [Packaging] drop linux-aws-source-* package\n\xa0\xa0* linux-aws/linux-gke incorrectly producing and using linux-*-tools-\n\xa0\xa0\xa0\xa0common/linux-*-cloud-tools-common (LP: #1688579)\n\xa0\xa0\xa0\xa0- [Config] linux-tools-* linux-cloud-tools-* share -common packages with linux\n\xa0\xa0* disable many ACPI features (LP: #1689372)\n\xa0\xa0\xa0\xa0- [config] AWS: disable assorted ACPI features\n\xa0\xa0* disable NOUVEAU (LP: #1689373)\n\xa0\xa0\xa0\xa0- [config] AWS: disable NOUVEAU\n\xa0\xa0* disable GPIOLIB, PINCTRL, and all consumers of them (LP: #1689374)\n\xa0\xa0\xa0\xa0- [config] AWS: disable INTEL_LPSS, AMD_PLATFORM, PINCTRL\n\xa0\xa0\xa0\xa0- [config] AWS: disable GPIOLIB\n\xa0\xa0[ Ubuntu: 4.4.0-79.100 ]\n\xa0\xa0* linux: 4.4.0-79.100 -proposed tracker (LP: #1691180)\n\xa0\xa0* linux-aws/linux-gke incorrectly producing and using linux-*-tools-\n\xa0\xa0\xa0\xa0common/linux-*-cloud-tools-common (LP: #1688579)\n\xa0\xa0\xa0\xa0- [Config] make linux-tools-common and linux-cloud-tools-common provide linux-\n\xa0\xa0\xa0\xa0\xa0\xa0gke versions\n\xa0\xa0\xa0\xa0- [Config] make linux-tools-common and linux-cloud-tools-common provide linux-\n\xa0\xa0\xa0\xa0\xa0\xa0aws versions\n\xa0\xa0\xa0\xa0- [Packaging] prevent linux-*-tools-common from being produced from non linux\n\xa0\xa0\xa0\xa0\xa0\xa0packages\n\xa0\xa0* CVE-2017-0605\n\xa0\xa0\xa0\xa0- tracing: Use strlcpy() instead of strcpy() in __trace_find_cmdline()\n\xa0\xa0* i915-bpo crashes on external hdmi input (LP: #1580272)\n\xa0\xa0\xa0\xa0- SAUCE: i915_bpo: Silence the warning about watermark entries not changing\n\xa0\xa0* Kernel panics on Xenial when using cgroups and strict CFS limits\n\xa0\xa0\xa0\xa0(LP: #1687512)\n\xa0\xa0\xa0\xa0- sched/fair: Initialize throttle_count for new task-groups lazily\n\xa0\xa0\xa0\xa0- sched/fair: Do not announce throttled next buddy in dequeue_task_fair()\n\xa0\xa0* bonding - mlx5 - speed changed to 0 after changing ring size  (LP: #1687877)\n\xa0\xa0\xa0\xa0- bonding: allow notifications for bond_set_slave_link_state\n\xa0\xa0* Xenial update to 4.4.67 stable release (LP: #1689296)\n\xa0\xa0\xa0\xa0- timerfd: Protect the might cancel mechanism proper\n\xa0\xa0\xa0\xa0- Handle mismatched open calls\n\xa0\xa0\xa0\xa0- ASoC: intel: Fix PM and non-atomic crash in bytcr drivers\n\xa0\xa0\xa0\xa0- ALSA: ppc/awacs: shut up maybe-uninitialized warning\n\xa0\xa0\xa0\xa0- drbd: avoid redefinition of BITS_PER_PAGE\n\xa0\xa0\xa0\xa0- mtd: avoid stack overflow in MTD CFI code\n\xa0\xa0\xa0\xa0- net: tg3: avoid uninitialized variable warning\n\xa0\xa0\xa0\xa0- netlink: Allow direct reclaim for fallback allocation\n\xa0\xa0\xa0\xa0- IB/qib: rename BITS_PER_PAGE to RVT_BITS_PER_PAGE\n\xa0\xa0\xa0\xa0- IB/ehca: fix maybe-uninitialized warnings\n\xa0\xa0\xa0\xa0- ext4: require encryption feature for EXT4_IOC_SET_ENCRYPTION_POLICY\n\xa0\xa0\xa0\xa0- ext4 crypto: revalidate dentry after adding or removing the key\n\xa0\xa0\xa0\xa0- ext4 crypto: use dget_parent() in ext4_d_revalidate()\n\xa0\xa0\xa0\xa0- ext4/fscrypto: avoid RCU lookup in d_revalidate\n\xa0\xa0\xa0\xa0- nfsd4: minor NFSv2/v3 write decoding cleanup\n\xa0\xa0\xa0\xa0- nfsd: stricter decoding of write-like NFSv2/v3 ops\n\xa0\xa0\xa0\xa0- dm ioctl: prevent stack leak in dm ioctl call\n\xa0\xa0\xa0\xa0- Linux 4.4.67\n\xa0\xa0* Precis...','relevant'
'This bug was fixed in the package linux-gke - 4.4.0-1014.14\n---------------\nlinux-gke (4.4.0-1014.14) xenial; urgency=low\n\xa0\xa0* linux-gke: 4.4.0-1014.14 -proposed tracker (LP: #1691186)\n\xa0\xa0* linux xenial derivatives fail to build (LP: #1691814)\n\xa0\xa0\xa0\xa0- [Packaging] Set do_tools_common in common vars\n\xa0\xa0\xa0\xa0- [Packaging] Put hooks.mk file in the right place\n\xa0\xa0*  linux-aws/linux-gke incorrectly producing an empty linux-*-source package-*\n\xa0\xa0\xa0\xa0(LP: #1690183)\n\xa0\xa0\xa0\xa0- [Packaging] drop linux-gke-source-* package\n\xa0\xa0* linux-aws/linux-gke incorrectly producing and using linux-*-tools-\n\xa0\xa0\xa0\xa0common/linux-*-cloud-tools-common (LP: #1688579)\n\xa0\xa0\xa0\xa0- [Config] linux-tools-* linux-cloud-tools-* share -common packages with linux\n\xa0\xa0[ Ubuntu: 4.4.0-79.100 ]\n\xa0\xa0* linux: 4.4.0-79.100 -proposed tracker (LP: #1691180)\n\xa0\xa0* linux-aws/linux-gke incorrectly producing and using linux-*-tools-\n\xa0\xa0\xa0\xa0common/linux-*-cloud-tools-common (LP: #1688579)\n\xa0\xa0\xa0\xa0- [Config] make linux-tools-common and linux-cloud-tools-common provide linux-\n\xa0\xa0\xa0\xa0\xa0\xa0gke versions\n\xa0\xa0\xa0\xa0- [Config] make linux-tools-common and linux-cloud-tools-common provide linux-\n\xa0\xa0\xa0\xa0\xa0\xa0aws versions\n\xa0\xa0\xa0\xa0- [Packaging] prevent linux-*-tools-common from being produced from non linux\n\xa0\xa0\xa0\xa0\xa0\xa0packages\n\xa0\xa0* CVE-2017-0605\n\xa0\xa0\xa0\xa0- tracing: Use strlcpy() instead of strcpy() in __trace_find_cmdline()\n\xa0\xa0* i915-bpo crashes on external hdmi input (LP: #1580272)\n\xa0\xa0\xa0\xa0- SAUCE: i915_bpo: Silence the warning about watermark entries not changing\n\xa0\xa0* Kernel panics on Xenial when using cgroups and strict CFS limits\n\xa0\xa0\xa0\xa0(LP: #1687512)\n\xa0\xa0\xa0\xa0- sched/fair: Initialize throttle_count for new task-groups lazily\n\xa0\xa0\xa0\xa0- sched/fair: Do not announce throttled next buddy in dequeue_task_fair()\n\xa0\xa0* bonding - mlx5 - speed changed to 0 after changing ring size  (LP: #1687877)\n\xa0\xa0\xa0\xa0- bonding: allow notifications for bond_set_slave_link_state\n\xa0\xa0* Xenial update to 4.4.67 stable release (LP: #1689296)\n\xa0\xa0\xa0\xa0- timerfd: Protect the might cancel mechanism proper\n\xa0\xa0\xa0\xa0- Handle mismatched open calls\n\xa0\xa0\xa0\xa0- ASoC: intel: Fix PM and non-atomic crash in bytcr drivers\n\xa0\xa0\xa0\xa0- ALSA: ppc/awacs: shut up maybe-uninitialized warning\n\xa0\xa0\xa0\xa0- drbd: avoid redefinition of BITS_PER_PAGE\n\xa0\xa0\xa0\xa0- mtd: avoid stack overflow in MTD CFI code\n\xa0\xa0\xa0\xa0- net: tg3: avoid uninitialized variable warning\n\xa0\xa0\xa0\xa0- netlink: Allow direct reclaim for fallback allocation\n\xa0\xa0\xa0\xa0- IB/qib: rename BITS_PER_PAGE to RVT_BITS_PER_PAGE\n\xa0\xa0\xa0\xa0- IB/ehca: fix maybe-uninitialized warnings\n\xa0\xa0\xa0\xa0- ext4: require encryption feature for EXT4_IOC_SET_ENCRYPTION_POLICY\n\xa0\xa0\xa0\xa0- ext4 crypto: revalidate dentry after adding or removing the key\n\xa0\xa0\xa0\xa0- ext4 crypto: use dget_parent() in ext4_d_revalidate()\n\xa0\xa0\xa0\xa0- ext4/fscrypto: avoid RCU lookup in d_revalidate\n\xa0\xa0\xa0\xa0- nfsd4: minor NFSv2/v3 write decoding cleanup\n\xa0\xa0\xa0\xa0- nfsd: stricter decoding of write-like NFSv2/v3 ops\n\xa0\xa0\xa0\xa0- dm ioctl: prevent stack leak in dm ioctl call\n\xa0\xa0\xa0\xa0- Linux 4.4.67\n\xa0\xa0* Precision Rack failed to resume from S4 (LP: #1686061)\n\xa0\xa0\xa0\xa0- x86 / hibernate: Use hlt_play_dead() when resuming from hibernation\n\xa0\xa0\xa0\xa0- x86/boot: Split out kernel_ident_mapping_init()\n\xa0\xa0\xa0\xa0- x86/power/64: Always create temporary identity mapping correctly\n\xa0\xa0* Xenial update to 4.4.66 stable release (LP: #1688505)\n\xa0\xa0\xa0\xa0- f2fs: do more int...','relevant'
"Can you confirm that the memory being gobbled wasn't shared memory?",'irrelevant'
'What does valgrind have to say about the leaks?','irrelevant'
'Is the word leak being used where the word bloat might be better (a leak is actually where memory is lost in such a way that there is no way for it to be freed even if you wanted to free it)?','relevant'
"I will try again with valgring next time (I'm in a hurry now).",'relevant'
'The last run (almost finishing), start with the same I said before:\ntotal: 37m   Virt: 29m    Shr: 20m\nAfter reload the list of packages:\ntotal: 46m   Virt: 39m    Shr: 20m\nAfter downloading almost 69 MB of packages (it remains a couple of minutes and its almost done):\ntotal: 216m  Virt: 158m  Shr: 8m\nI know (because previously I saw) when the upgrade ends, the memory will still in use.','relevant'
'The only way to have that memory back is finish the program.','relevant'
"Probably is bloat, but I can't imagine why the application would need that amount of data in memory even when it has nothing to do.",'relevant'
'# valgrind --leak-check=full synaptic\n[...]\n==7394== ERROR SUMMARY: 84967 errors from 71 contexts (suppressed: 101 from 7)\n==7394== malloc/free: in use at exit: 17,285,739 bytes in 351,785 blocks.','irrelevant'
'==7394== malloc/free: 12,445,177 allocs, 12,093,392 frees, 762,605,034 bytes allocated.','irrelevant'
'==7394== For counts of detected errors, rerun with: -v\n==7394== searching for pointers to 351,785 not-freed blocks.','irrelevant'
'==7394== checked 13,973,532 bytes.','irrelevant'
'[...]\n==7394== LEAK SUMMARY:\n==7394==    definitely lost: 2,302,699 bytes in 61,222 blocks.','relevant'
'==7394==    indirectly lost: 3,046,821 bytes in 96,927 blocks.','relevant'
'==7394==      possibly lost: 1,741,251 bytes in 42,100 blocks.','relevant'
'==7394==    still reachable: 10,186,808 bytes in 151,535 blocks.','relevant'
'==7394==         suppressed: 8,160 bytes in 1 blocks.','relevant'
'==7394== Reachable blocks (those to which a pointer was found) are not shown.','relevant'
'==7394== To see them, rerun with: --show-reachable=yes','relevant'
'Could you please attach the full valgrind trace as a file?','irrelevant'
"I'm unable to reproduce the amount of memory leakage here so I would be interessted in your log.",'irrelevant'
'Thanks,\n\xa0Michael','irrelevant'
'The amount of memory used depends directly of the size and amount of packages to be upgraded.','irrelevant'
'Today evolution was updated between other packages.','irrelevant'
'I hope it helps.','irrelevant'
"I didn't see the log because I was busy in other stuffs.",'irrelevant'
'It seems that there is no such leaks nowadays.','relevant'
'Synapctics has been upgraded a couple of time since I reported this bug.','irrelevant'
'Thanks for the new log.','irrelevant'
"Is it correct that you can't reproduce the problem anymore as well?",'irrelevant'
'If so, I still would like to keep the bug open for a bit, maybe someone else can and we can get a valgrind trace then.','relevant'
'Thanks,\n\xa0Michael','irrelevant'
'==10394==\n==10394== LEAK SUMMARY:\n==10394==    definitely lost: 66,637 bytes in 336 blocks.','relevant'
'==10394==    indirectly lost: 155,679 bytes in 7,654 blocks.','relevant'
'==10394==      possibly lost: 1,850,932 bytes in 46,891 blocks.','relevant'
'==10394==    still reachable: 7,616,677 bytes in 99,501 blocks.','relevant'
'==10394==         suppressed: 0 bytes in 0 blocks.','relevant'
'==10394== Reachable blocks (those to which a pointer was found) are not shown.','relevant'
'This was after doing only a small download (1 mb).','relevant'
"I don't know how to get the whole log, when I try to redirect stdout to a file it redirects synaptic instead of valgrind.",'irrelevant'
'Thank you for taking the time to report this bug and helping to make Ubuntu better.','irrelevant'
"You reported this bug a while ago and there hasn't been any activity in it recently.",'irrelevant'
'We were wondering if this is still an issue for you.','irrelevant'
'Can you try with the latest Ubuntu release?','irrelevant'
'Thanks in advance.','irrelevant'
'Simply starting and quitting synaptics gives me a report of leaked memory.','relevant'
'==2330== LEAK SUMMARY:\n==2330==    definitely lost: 8,345 bytes in 33 blocks\n==2330==    indirectly lost: 22,112 bytes in 690 blocks\n==2330==      possibly lost: 6,731,607 bytes in 80,015 blocks\n==2330==    still reachable: 10,248,124 bytes in 102,796 blocks\n==2330==         suppressed: 0 bytes in 0 blocks\nAfter installing a package:\n==2372== LEAK SUMMARY:\n==2372==    definitely lost: 38,045 bytes in 113 blocks\n==2372==    indirectly lost: 73,792 bytes in 2,287 blocks\n==2372==      possibly lost: 11,236,569 bytes in 124,741 blocks\n==2372==    still reachable: 5,218,655 bytes in 57,609 blocks\n==2372==         suppressed: 0 bytes in 0 blocks','relevant'
'Running valgrind on maverick shows plenty of leaks for me as well.','relevant'
'StacktraceTop:mono_arch_ip_from_context (sigctx=0x0) at exceptions-x86.c:748\nsigsegv_signal_handler (_dummy=11, info=0x1548, context=0x0) at mini.c:11106\nnsProfileLock::FatalSignalHandler (signo=11) at nsProfileLock.cpp:210\n??','irrelevant'
'()','irrelevant'
'Same here on Gutsy!','relevant'
'It crashes several times when doing normal operations such as update feeds.','relevant'
'Platform Hardy i386\nI launched blam.','relevant'
'Read some news.','relevant'
'It crashed.','relevant'
'I reloaded blam and it crashed soon after it displayed its windows.','relevant'
'From the trace, it looks like it fails in the xul/firefox library.','relevant'
"I can't confirm this symptom in 9.04.",'irrelevant'
'Please set the status to:\n1) New if reproducible in a supported or development Ubuntu version, or\n2) Invalid if you cannot reproduce it in a supported or development Ubuntu version.','irrelevant'
