@relation rationale
@attribute sentence string
@attribute classification string
@data
'+1 to rolling our own in any case.','relevant'
'Committed changes to the spatial3d module for this purpose.','relevant'
"Not sure where else it's used?",'relevant'
'Thanks Karl Wright.','irrelevant'
"I think we should just add this to our forbidden API list, then see what fails (because it's using these APIs), and correct them...",'relevant'
'Michael McCandless How do I add these to the forbidden API list?','irrelevant'
'Karl Wright Oh, I think you just add it to lucene/tools/forbiddenApis/lucene.txt?','irrelevant'
'And then run ant precommit and you should see failures from places using these APIs...','irrelevant'
"Here's what it spits out:\n\n\n[forbidden-apis] Forbidden method invocation: java.lang.Math#toRadians(double) [Use NIO.2 instead]\n[forbidden-apis]   in org.apache.lucene.geo.Rectangle (Rectangle.java:94)\n[forbidden-apis] Forbidden method invocation: java.lang.Math#toRadians(double) [Use NIO.2 instead]\n[forbidden-apis]   in org.apache.lucene.geo.Rectangle (Rectangle.java:95)\n[forbidden-apis] Forbidden method invocation: java.lang.Math#toDegrees(double) [Use NIO.2 instead]\n[forbidden-apis]   in org.apache.lucene.geo.Rectangle (Rectangle.java:121)\n[forbidden-apis] Forbidden method invocation: java.lang.Math#toDegrees(double) [Use NIO.2 instead]\n[forbidden-apis]   in org.apache.lucene.geo.Rectangle (Rectangle.java:121)\n[forbidden-apis] Forbidden method invocation: java.lang.Math#toDegrees(double) [Use NIO.2 instead]\n[forbidden-apis]   in org.apache.lucene.geo.Rectangle (Rectangle.java:121)\n[forbidden-apis] Forbidden method invocation: java.lang.Math#toDegrees(double) [Use NIO.2 instead]\n[forbidden-apis]   in org.apache.lucene.geo.Rectangle (Rectangle.java:121)\n[forbidden-apis] Forbidden method invocation: java.lang.Math#toRadians(double) [Use NIO.2 instead]\n[forbidden-apis]   in org.apache.lucene.geo.Rectangle (Rectangle.java:151)\n[forbidden-apis] Forbidden method invocation: java.lang.Math#toDegrees(double) [Use NIO.2 instead]\n[forbidden-apis]   in org.apache.lucene.geo.Rectangle (Rectangle.java:169)\n[forbidden-apis] Forbidden method invocation: java.lang.Math#toRadians(double) [Use NIO.2 instead]\n[forbidden-apis]   in org.apache.lucene.util.SloppyMath (SloppyMath.java:212)\n[forbidden-apis] Scanned 2733 (and 585 related) class file(s) for forbidden API\ninvocations (in 2.98s), 9 error(s).",'irrelevant'
'Robert Muir: Is this still needed?','irrelevant'
'In SloppyMath.java I see the following:\n\n\n  // haversin\n  // TODO: remove these for java 9, they fixed Math.toDegrees()/toRadians() to work just like this.','relevant'
'public static final double TO_RADIANS = Math.PI / 180D;\n  public static final double TO_DEGREES = 180D / Math.PI;\n\n\n... which leads me to wonder if Java 9 was fixed and we should instead be using Math.toDegrees()/toRadians() everywhere?','relevant'
'Maybe Uwe Schindler knows?','irrelevant'
"Here's the patch",'relevant'
"Commit b11e48c7553daed127b1b231641d7367a09aed1b in lucene-solr's branch refs/heads/master from Karl Wright\n[ https://git-wip-us.apache.org/repos/asf?p=lucene-solr.git;h=b11e48c ]\nLUCENE-7194: Ban Math.toRadians and Math.toDegrees",'irrelevant'
"Commit 40ca6f1d64ab8ec2e873c2a6c6815ca449b046a4 in lucene-solr's branch refs/heads/branch_6x from Karl Wright\n[ https://git-wip-us.apache.org/repos/asf?p=lucene-solr.git;h=40ca6f1 ]\nLUCENE-7194: Ban Math.toRadians and Math.toDegrees",'irrelevant'
"Commit 388d388c990c8d9e05ec9ba9bc881fdc921e734b in lucene-solr's branch refs/heads/branch_6x from Karl Wright\n[ https://git-wip-us.apache.org/repos/asf?p=lucene-solr.git;h=388d388 ]\nLUCENE-7194: Ban Math.toRadians, Math.toDegrees",'irrelevant'
'Thank you Karl Wright!','irrelevant'
"Yikes, I'll take it.",'irrelevant'
'Patch.','irrelevant'
'I also hit and fixed a separate bug in InetAddressPoint.newSetQuery where it hit an exception if you tried to pass more than one InetAddress in the set   Sheesh.','relevant'
's/comparsion/comparison/ but otherwise +1 to the patch','relevant'
'nice find!','irrelevant'
"Commit 770e508fd3d908e9bf7997361299af96aa437b75 in lucene-solr's branch refs/heads/master from Mike McCandless\n[ https://git-wip-us.apache.org/repos/asf?p=lucene-solr.git;h=770e508 ]\nLUCENE-7085: PointRangeQuery.equals sometimes returns false even if queries were in fact equal",'irrelevant'
"Commit 9f8fe1239afb7089b9f85432d076bdd778d3cd50 in lucene-solr's branch refs/heads/branch_6x from Mike McCandless\n[ https://git-wip-us.apache.org/repos/asf?p=lucene-solr.git;h=9f8fe12 ]\nLUCENE-7085: PointRangeQuery.equals sometimes returns false even if queries were in fact equal",'irrelevant'
"Commit f0ed113bb6ebed008bc9aa5954e12de98d62c951 in lucene-solr's branch refs/heads/branch_6_0 from Mike McCandless\n[ https://git-wip-us.apache.org/repos/asf?p=lucene-solr.git;h=f0ed113 ]\nLUCENE-7085: PointRangeQuery.equals sometimes returns false even if queries were in fact equal",'irrelevant'
'What a nice catch, thanks Adrien Grand!','irrelevant'
'I just want to be sure that maybe others also tested it with his/her Git installation.','irrelevant'
"Commit 424a647af4d093915108221bcd4390989303b426 in lucene-solr's branch refs/heads/master from Uwe Schindler\n[ https://git-wip-us.apache.org/repos/asf?p=lucene-solr.git;h=424a647 ]\nLUCENE-6995, LUCENE-6938: Add branch change trigger to common-build.xml to keep sane build on GIT branch change",'irrelevant'
"Commit 0ef36fcdd107084a2ac3156943f01eb5f7dd9c74 in lucene-solr's branch refs/heads/branch_5x from Uwe Schindler\n[ https://git-wip-us.apache.org/repos/asf?p=lucene-solr.git;h=0ef36fc ]\nLUCENE-6995, LUCENE-6938: Add branch change trigger to common-build.xml to keep sane build on GIT branch change",'irrelevant'
'I committed this.','relevant'
'I think we should open another issues about the multiple build dir change.','relevant'
"Commit b0e769c3ec598dd7398cc8df123bc4c41069e2c3 in lucene-solr's branch refs/heads/branch_5_4 from Uwe Schindler\n[ https://git-wip-us.apache.org/repos/asf?p=lucene-solr.git;h=b0e769c ]\nLUCENE-6995, LUCENE-6938: Add branch change trigger to common-build.xml to keep sane build on GIT branch change",'irrelevant'
'Patch.','irrelevant'
'this is a really good idea.','relevant'
'otherwise we are going to get bug reports that look like data corruption:\n\n   [junit4]    > Caused by: java.lang.IllegalArgumentException: Version is too old, should be at least 2 (got 0)\n   [junit4]    >     at org.apache.lucene.util.packed.PackedInts.checkVersion(PackedInts.java:77)\n   [junit4]    >     at org.apache.lucene.util.packed.PackedInts.getDecoder(PackedInts.java:742)\n   [junit4]    >     at org.apache.lucene.codecs.lucene50.ForUtil.<clinit>(ForUtil.java:64)\n   [junit4]    >     ... 50 more','relevant'
"This is interesting because I don't see this behavior.",'irrelevant'
'When I checkout a historical branch, it just updates timestamps on changed files in the working copy, but updates them to checkout time?','irrelevant'
'$ ls -l build.xml\n-rw-r--r-- 1 dweiss dweiss 35579 Jan 26 14:55 build.xml\n\n# historical hash from Sep. 5:\n$ git checkout 8f5259b4ff2d5f0\n$ ls -l build.xml\n-rw-r--r-- 1 dweiss dweiss 25633 Jan 26 14:56 build.xml','irrelevant'
"I think it's your build folders that are in an insane state, not the checked out files?",'irrelevant'
"I'm not against this patch, I just find it odd you're experiencing the issue because I've never had any problem with it (yes, git will not wipe out any ignored files automatically \x96 these are ignored after all \x96 but it'll switch any versioned files and update timestamps properly).",'relevant'
'Please make this an opt-out feature.','relevant'
'I prefer to git clean the build folder myself, actually (faster than ant).','relevant'
'It happened to me twice this morning already.','irrelevant'
'Just doing things like running tests and forgetting to clean when switching branches.','irrelevant'
"Ok, but this isn't related to timestamps on version-controlled files, only on the fact that build artefacts coexist?",'irrelevant'
"If so, it'd be an interesting exercise to not clean after a branch switch but have branch-dedicated build folder.",'relevant'
'This way you could actually switch a branch and then continue working as usual because it should work flawlessly.','relevant'
'...have branch-dedicated build folder\nI like that idea!','relevant'
"I guess it's manually possible now with -Dbuild.dir=my_branch_dir?",'relevant'
"If so, it'd be an interesting exercise to not clean after a branch switch but have branch-dedicated build folder.",'relevant'
'This way you could actually switch a branch and then continue working as usual because it should work flawlessly.','relevant'
'This is an interesting idea.','relevant'
'But if we do this, I think it should be `build/<branch>` and ant clean still removes build entirely (means it still really cleans).','relevant'
'I guess it will force us to fix places in the build/python scripts/whatever that might have a hardcoded `build/` somewhere, and so on.','relevant'
'Yes, absolutely.','relevant'
'Ant clean should really clean everything.','relevant'
'As a side note, I use this very often:\n\n\ngit clean -xfd\n\n\nThis removes everything (including all ignored files, etc.)','relevant'
'and restores a pristine checkout state.','relevant'
'Just in case somebody finds it useful.','irrelevant'
'+1 to close this trap ASAP.','relevant'
"The errors you hit when ant doesn't realize you've switched git branches are awful.",'relevant'
'Can we iterate by committing this solution first, then working on the separate build directory as a followup.','relevant'
'Again, the current situation is a real problem, because the errors you see look like corruption.','relevant'
'I have no problem committing and pushing this soon.','irrelevant'
'Patch of 11 Nov 2015.','relevant'
'Most of the changes are to pass numDocs down to where it is actually used:\nConjunctionDISI, DisjunctionDISIApproximation, DisjunctionScorer, ConjunctionSpans, SpanOrQuery.','relevant'
'This is incomplete, there no tests.','relevant'
'MinShouldMatchSumScorer only has the disjunctions done.','relevant'
'For un/ordered NearSpans there is a division by 4 (unordered) and by 8 (ordered) for zero allowed slop, something like this should also be done for the PhraseQueries.','relevant'
'SpanContaining and SpanWithin use the conjunction estimation, these should also be smaller.','relevant'
'The independence that is assumed is normally not there.','relevant'
'However, the cost() results are only used to order the input DISIs/Scorers for optimization, and for that I expect this assumption to work nicely.','relevant'
'But so would the current worst-case approach?','relevant'
'That one is actually solved nowadays by the two phase approach.','relevant'
"I'll think of a better example later.",'irrelevant'
"There are very likely situations where you can still decrease query runtime even further with a different order of clauses than the one based on current worst-case estimates, and I agree that the naming 'cost()' doesn't really reflect the conservative estimates.",'relevant'
'However, any other non-worst-case estimate might err very badly and make queries that are currently reasonably fast extremely slow.','relevant'
'It comes down to trading in worst-case behavior to gain average/throughput, but usually people care more about the slowest/hardest queries.','relevant'
"However, maybe we can have worst-case and other estimates too and choose to use the latter only in cases where even making the wrong decision won't be too bad, so that you're speculative on the fast queries to gain throughput, but conservative on potentially slow queries.",'relevant'
"Another reason why I started this is that the result of cost() is also used as weights for matchCost() at LUCENE-6276, and I'd prefer those weights to be as accurate as reasonably possible.",'relevant'
'I think we can keep this (assuming independence for conjunctions and disjunctions) as a possible alternative until the current implementation gives a bad result.','relevant'
'For the proximity queries (Phrases, Spans) this reduces the conjunction cost() using the allowed slop.','relevant'
'Would it be worthwhile to open a separate issue for that?','irrelevant'
'Patch of 15 Nov 2015.','relevant'
'Resolve conflicts after LUCENE-6276.','relevant'
'I tried this patch with the wikimedium5m benchmark.','relevant'
'This showed no significant differences to current trunk, the differences where never bigger than 2.1\\% either way, and well within the standard deviations.','relevant'
'This could be because the patch here should have influence for more complex queries than the one in the benchmark.','irrelevant'
'I might try to add more complex queries to the benchmark later.','relevant'
'Here is the benchmark output, it might be good for future reference:\n\n\n                    TaskQPS baseline      StdDevQPS my_modified_version      StdDev                Pct diff\n                HighTerm      178.20      (1.8\\%)      174.50      (5.6\\%)   -2.1\\% (  -9\\% -    5\\%)\n                 MedTerm      641.36      (1.6\\%)      630.32      (4.9\\%)   -1.7\\% (  -8\\% -    4\\%)\n              OrHighHigh       57.02      (5.5\\%)       56.32      (6.6\\%)   -1.2\\% ( -12\\% -   11\\%)\n               OrHighMed      107.80      (5.2\\%)      106.89      (6.2\\%)   -0.8\\% ( -11\\% -   11\\%)\n             AndHighHigh      100.02      (2.3\\%)       99.34      (0.7\\%)   -0.7\\% (  -3\\% -    2\\%)\n                 LowTerm     2477.28      (3.0\\%)     2463.27      (5.5\\%)   -0.6\\% (  -8\\% -    8\\%)\n              AndHighMed      627.58      (1.5\\%)      625.22      (1.2\\%)   -0.4\\% (  -3\\% -    2\\%)\n              HighPhrase       81.21      (4.2\\%)       80.98      (4.3\\%)   -0.3\\% (  -8\\% -    8\\%)\n               OrHighLow      136.70      (3.1\\%)      136.35      (2.1\\%)   -0.3\\% (  -5\\% -    5\\%)\n               LowPhrase      181.55      (2.2\\%)      181.09      (2.0\\%)   -0.3\\% (  -4\\% -    4\\%)\n         MedSloppyPhrase       56.03      (2.9\\%)       55.93      (3.1\\%)   -0.2\\% (  -5\\% -    5\\%)\n             MedSpanNear       52.77      (1.7\\%)       52.68      (2.6\\%)   -0.2\\% (  -4\\% -    4\\%)\n         LowSloppyPhrase      106.15      (2.9\\%)      106.01      (3.1\\%)   -0.1\\% (  -6\\% -    6\\%)\n               MedPhrase       39.38      (3.8\\%)       39.36      (3.3\\%)   -0.1\\% (  -6\\% -    7\\%)\n                  Fuzzy1      137.14      (2.1\\%)      137.06      (1.5\\%)   -0.1\\% (  -3\\% -    3\\%)\n                  Fuzzy2       79.28      (1.9\\%)       79.25      (1.5\\%)   -0.0\\% (  -3\\% -    3\\%)\n             LowSpanNear       94.38      (1.7\\%)       94.35      (2.8\\%)   -0.0\\% (  -4\\% -    4\\%)\n            OrNotHighMed      444.12      (1.7\\%)      444.36      (1.2\\%)    0.1\\% (  -2\\% -    2\\%)\n              AndHighLow     1878.59      (2.0\\%)     1880.20      (1.9\\%)    0.1\\% (  -3\\% -    4\\%)\n                 Respell      106.47      (1.9\\%)      106.62      (1.7\\%)    0.1\\% (  -3\\% -    3\\%)\n            OrNotHighLow     1831.85      (1.7\\%)     1834.68      (1.3\\%)    0.2\\% (  -2\\% -    3\\%)\n           OrNotHighHigh       69.75      (1.6\\%)       69.91      (1.4\\%)    0.2\\% (  -2\\% -    3\\%)\n            HighSpanNear       36.38      (2.8\\%)       36.47      (3.8\\%)    0.3\\% (  -6\\% -    7\\%)\n        HighSloppyPhrase       45.58      (3.6\\%)       45.70      (3.5\\%)    0.3\\% (  -6\\% -    7\\%)\n            OrHighNotLow       65.78      (7.0\\%)       66.03      (8.4\\%)    0.4\\% ( -14\\% -   16\\%)\n                 Prefix3      448.85      (3.5\\%)      450.67      (3.8\\%)    0.4\\% (  -6\\% -    8\\%)\n                Wildcard      114.35      (4.8\\%)      115.02      (4.6\\%)    0.6\\% (  -8\\% -   10\\%)\n                  IntNRQ       23.48      (7.4\\%)       23.71      (7.7\\%)    1.0\\% ( -13\\% -   17\\%)\n                PKLookup      360.70      (1.7\\%)      364.91      (3.1\\%)    1.2\\% (  -3\\% -    6\\%)\n            OrHighNotMed      178.99      (7.2\\%)      181.91      (8.2\\%)    1.6\\% ( -12\\% -   18\\%)\n           OrHighNotHigh       39.78      (7.1\\%)       40.63      (7.5\\%)    2.1\\% ( -11\\% -   18\\%)','irrelevant'
"Won't this change have the prospect of increasing the amount of GC due to all these extra objects?",'relevant'
"The patch also removes some calls to BytesRef.deepCopyOf, so I'm not sure here.",'relevant'
"have an alternative constructor that doesn't clone\nThis has bitten a few people at least, including me, and I'd rather have it work correctly in the case when the BytesRef comes directly from a TermsEnum.",'relevant'
'The Term(String field, String text) constructor makes a new BytesRef anyway.','relevant'
"so that users like Solr can exploit the fact that their code won't be making any further use of the input term?",'relevant'
'There are at least a few places in Solr with a BytesRef.deepCopyOf result directly passed to a Term constructor, for example in FacetField and SolrIndexSearcher.','relevant'
'There this call could be removed also.','relevant'
"I'm not familiar with Solr code, so in case there is another impact there, please holler.",'irrelevant'
'2nd patch of 3 October 2015.','relevant'
"In addition to the previous patch, this also\n\ndeletes the Term cloning in PhraseQuery,\nadds a Term constructor from a BytesRefBuilder, and\nremoves BytesRef copying at Term construction from Solr's FieldType, SolrIndexSearcher, FacetField and SimpleMLTQParser.",'relevant'
'I like how the patch makes things simpler.','relevant'
"I'll wait a bit before committing to give other people a chance to comment.",'irrelevant'
'Can you also remove the explicit cloning that we added in LUCENE-6435?','relevant'
'Can you also remove the explicit cloning that we added in LUCENE-6435?','relevant'
'I tried, but then a test fails.','relevant'
'Perhaps this is because a BytesRef is passed ClassificationResult there.','relevant'
'do you mean the BytesRef.deepCopyOf\xa0at https://github.com/apache/lucene-solr/blob/trunk/lucene/classification/src/java/org/apache/lucene/classification/SimpleNaiveBayesClassifier.java#L154 ?','irrelevant'
"If yes, that's because the reference is updated and used in the ClassificationResult.",'relevant'
"I'll see if I can simplify that.",'relevant'
"after a quick look it doesn't seem removing the deep copy in favour of creating new BytesRef would improve anything, actually it'd be slightly worse.",'relevant'
"I would say let's keep that.",'relevant'
'One could also create the Term in the loop and pass that, or its Term.bytes(), around to the other methods.','relevant'
'Term.bytes() can also be passed to the ClassificationResult.','relevant'
'The patch here has this javadoc at Term.bytes():\n/** Returns the bytes of this term, these should not be modified.','relevant'
'*/','irrelevant'
'One could also create the Term in the loop and pass that\ngood point indeed, in the end the underlying methods all create a new Term from the same BytesRef\xa0and field name, so that should be better than the current solution, so we should pass the Term\xa0created from within the loop to the methods to calculate prior and likelihood in SimpleNaiveBayesClassifier.','relevant'
"attached the Paul Elschot's patch modified to pass the Term\xa0instead of the BytesRef\xa0in SimpleNaiveBayesClassifier.",'relevant'
'from my perspective we can proceed committing this patch.','relevant'
'Adrien, Paul what do you think?','irrelevant'
'The patch of 14 October LGTM, and tests pass here.','relevant'
'+1 on my end as well','relevant'
'I will run another round of testing and inspections and commit the latest patch if no issues come up.','relevant'
"Commit 1709576 from Tommaso Teofili in branch 'dev/trunk'\n[ https://svn.apache.org/r1709576 ]\nLUCENE-6821 - TermQuery's constructors should clone the incoming term",'irrelevant'
'committed and resolved, thanks Paul Elschot for your patch and Adrien Grand for your help.','relevant'
'Do we want to backport it to 5.x?','relevant'
"I don't have a strong opinion but I like to get changes into the hands of our users as soon as possible, and I don't see how this one could break existing applications, it might just perform a few extra copies?",'relevant'
'Do we want to backport it to 5.x?','relevant'
'+1, I consider this a bug fix, which should certainly go back to 5.x.','relevant'
"agreed, I've reopened and will backport it.",'relevant'
"Commit 1709683 from Yonik Seeley in branch 'dev/trunk'\n[ https://svn.apache.org/r1709683 ]\nLUCENE-6821: remove unnecessary term clones",'irrelevant'
"Commit 1709780 from Tommaso Teofili in branch 'dev/branches/branch_5x'\n[ https://svn.apache.org/r1709780 ]\nLUCENE-6821 - TermQuery's constructors should clone the incoming term (backport branch 5.x)",'irrelevant'
'backported to branch 5.x','relevant'
'See (also?)','irrelevant'
'LUCENE-4483.','irrelevant'
'I had a look at the core code for the use of the TermQuery constructors, and I agree that it would be better to do the clone in the constructor.','relevant'
'Shall I give this a try?','relevant'
'Patch of 3 Oct 2015.','relevant'
'This\n\nadds a call to BytesRef.deepCopyOf in the Term constructor,\nremoves such calls where the Term constructor is used, and\ndocuments that the result of Term.bytes() should not be modified.','relevant'
'The patch also removes a call to the term constructor in BlendedTermQuery, which was actually making a clone.','relevant'
'This might have gone too far, but I think it should work because the boost is in BoostQuery now.','relevant'
"Won't this change have the prospect of increasing the amount of GC due to all these extra objects?",'relevant'
"Maybe might it be advisable to have an alternative constructor that doesn't clone so that users like Solr can exploit the fact that their code won't be making any further use of the input term?",'relevant'
"I don't think we should bother at all: executing a term query already performs I/O operations and allocates several objects per segment to create terms enums, scorers, iterators, leaf collectors, etc.",'relevant'
'so adding two extra object allocations to clone the incoming term is very unlikely to have noticeable impact on gc activity.','relevant'
'There is another Term constructor call that is a clone at PhraseQuery line 104, this could also be removed.','relevant'
'Initial patch fixing the comparator to take into account the payload when everything else is same.','relevant'
"Commit 1691282 from Michael McCandless in branch 'dev/trunk'\n[ https://svn.apache.org/r1691282 ]\nLUCENE-6680: don't lose a suggestion that differs only in payload from another suggestion",'irrelevant'
'Thanks Arcadius Ahouansou, I just committed your patch with a small tweak to the if statement logic in the comparator...','relevant'
"Commit 1691283 from Michael McCandless in branch 'dev/branches/branch_5x'\n[ https://svn.apache.org/r1691283 ]\nLUCENE-6680: don't lose a suggestion that differs only in payload from another suggestion",'irrelevant'
'Thank you very much Michael McCandless for helping get this issue fixed.','irrelevant'
'Bulk close for 5.3.0 release','relevant'
"We should define a complete standard\nLucene uses Sun's java coding conventions, apparently moved here: http://www.oracle.com/technetwork/java/codeconvtoc-136057.html\nWith one exception: 2 space indent, not 4.",'relevant'
'Currently by default the Codestyle is consistent with spaces.','relevant'
'The problem was actually with un-consistent  classes already committed that were causing the confusion.','relevant'
'We can close this now.','relevant'
'And thanks Mike for the explanation, actually I missed the comments !','irrelevant'
"You're welcome Alessandro Benedetti!",'irrelevant'
'Thank you for raising this.','irrelevant'
'Patch guards the Files.createDirectories call with a Files.exists check.','relevant'
'Files.exists only demands read access, so it succeeds if you only have read access.','relevant'
"And your second patch: Please don't do this.",'relevant'
'This is all not worth a test.','relevant'
'It just compromises our security manager.','relevant'
'A SecurityManager that allows to override/delete itsself just makes itsself broken.','relevant'
'Yes, if you really want to do this in a test:\nGuideline 9-4 / ACCESS-4: Know how to restrict privileges through doPrivileged\nhttp://www.oracle.com/technetwork/java/seccodeguide-139067.html#9','relevant'
'Good tip!','relevant'
'I have the test working here.','irrelevant'
'Will post updated patch.','relevant'
'Here is the test.','relevant'
'I had to f*ck with the last Permission, because to run the code with restricted permissions you need the additional permission, otherwise it runs with no permissions at all  (see javadocs)\nI also added a helper method, we may move this to LTC later','relevant'
'Slightly improved generics in the patch to make the helper method more universal (to move to LTC).','relevant'
'I also added a helper method, we may move this to LTC later\n+1\nThis patch looks great Uwe, generalizing that method into LTC sounds good to me.','relevant'
'More neat helper method (Java 8).','relevant'
'I will blow this up to ten times its size when backporting to 5.x','irrelevant'
'This patch looks great Uwe, generalizing that method into LTC sounds good to me.','relevant'
'Will look into this tomorrow.','irrelevant'
'Have to sleep now, its already 4 am.','irrelevant'
'The time when Mike McCandless starts coding','irrelevant'
'Moved the runWithLowerPermissions to LTC.','relevant'
'I also fixed the FSDirectory() ctor to do a mich simpler Files.isDirectory() check, because otherwise the basic TestDirectory test fails on Windows (of couse it fails...).','relevant'
'Could somebody with Linux or MacOSX test the patch or state any other complaints with it?','irrelevant'
'More tests that we cannot escape our sandbox!','irrelevant'
'After discussion with Hoss Man, I added an assume to the runWithRestrictedPermissions, so it cancels test execution if no security manager is available.','relevant'
'Running those tests without a security manager makes no sense, because they would assert nothing (because they have all permissions).','relevant'
"Commit 1688537 from Uwe Schindler in branch 'dev/trunk'\n[ https://svn.apache.org/r1688537 ]\nLUCENE-6542: FSDirectory's ctor now works with security policies or file systems that restrict write access",'irrelevant'
"Commit 1688541 from Uwe Schindler in branch 'dev/branches/branch_5x'\n[ https://svn.apache.org/r1688541 ]\nMerged revision(s) 1688537 from lucene/dev/trunk:\nLUCENE-6542: FSDirectory's ctor now works with security policies or file systems that restrict write access",'irrelevant'
'Committed and backported the lambdas to Java 7 in branch_5x.','relevant'
'Bulk close for 5.3.0 release','relevant'
'Here is a patch.','irrelevant'
'+1','relevant'
"Commit 1683734 from Adrien Grand in branch 'dev/trunk'\n[ https://svn.apache.org/r1683734 ]\nLUCENE-6526: Asserting(Query|Weight|Scorer) now ensure scores are not computed if they are not needed.",'irrelevant'
"Commit 1683744 from Adrien Grand in branch 'dev/trunk'\n[ https://svn.apache.org/r1683744 ]\nLUCENE-6526: Revert some changes that were committed by mistake.",'irrelevant'
"Commit 1683745 from Adrien Grand in branch 'dev/branches/branch_5x'\n[ https://svn.apache.org/r1683745 ]\nLUCENE-6526: Asserting(Query|Weight|Scorer) now ensure scores are not computed if they are not needed.",'irrelevant'
'Bulk close for 5.3.0 release','relevant'
"Commit 1672281 from Dawid Weiss in branch 'dev/trunk'\n[ https://svn.apache.org/r1672281 ]\nLUCENE-6413: Test runner should report the number of suites completed/ remaining.",'irrelevant'
"Commit 1672282 from Dawid Weiss in branch 'dev/branches/branch_5x'\n[ https://svn.apache.org/r1672282 ]\nLUCENE-6413: Test runner should report the number of suites completed/ remaining.",'irrelevant'
'Woohoo!','relevant'
'Thanks Dawid!','irrelevant'
"You're very welcome although I am so far behind with other changes I'd like to make to the RR that there's hardly any reason to celebrate  (yet .",'irrelevant'
'This is awesome.','relevant'
"It won't make the tests go any faster, but now I will know whether I can walk away from the running tests to work on something else.",'relevant'
'Bulk close for 5.3.0 release','relevant'
'Here is an initial shotgun approach.','relevant'
'I verified it finds things like file leaks by introducing them to old codecs.','relevant'
'But it currently sometimes trips assertions during IW.commit().','relevant'
"I'm not sure everything is ok here.",'relevant'
"I'm not trying to test IW so I'm gonna neuter it and keep working.",'irrelevant'
'False alarm (fake IOE -> slowFileExists == false -> scary assertion).','relevant'
'I disable it during commit (with a comment) as a workaround.','relevant'
'But its still on during reopen which does not have this check.','relevant'
'I think its good enough.','relevant'
'False alarm \nPhew!','irrelevant'
"Commit 1671900 from Robert Muir in branch 'dev/branches/branch_5x'\n[ https://svn.apache.org/r1671900 ]\nLUCENE-6405: add shotgun test for exception handling",'irrelevant'
"Commit 1671902 from Robert Muir in branch 'dev/trunk'\n[ https://svn.apache.org/r1671902 ]\nLUCENE-6405: add shotgun test for exception handling",'irrelevant'
"I'll close the issue, but we should improve it more later.",'relevant'
"Really each of these tests should have unit tests (using a MDW that failOn's openInput/createOutput/whereever).",'relevant'
'I think it would even better.','relevant'
'But for now this is an improvement over the IW tests and fills missing coverage for backwards-codecs/','relevant'
"Commit 1671995 from Robert Muir in branch 'dev/trunk'\n[ https://svn.apache.org/r1671995 ]\nLUCENE-6405: add infos exc unit tests.",'irrelevant'
'fix TestTransactions to handle exceptions on openInput and let MDW do it','irrelevant'
"Commit 1671996 from Robert Muir in branch 'dev/branches/branch_5x'\n[ https://svn.apache.org/r1671996 ]\nLUCENE-6405: add infos exc unit tests.",'irrelevant'
'fix TestTransactions to handle exceptions on openInput and let MDW do it','irrelevant'
'Bulk close for 5.2.0.','relevant'
'\nReport after iter 10:\nChart saved to out.png... (wd: /home/rmuir/workspace/util/src/python)\n                    Task   QPS trunk      StdDev   QPS patch      StdDev                Pct diff\n             MedSpanNear       75.69      (2.0\\%)       80.58      (3.9\\%)    6.5\\% (   0\\% -   12\\%)\n             LowSpanNear      233.30      (3.8\\%)      259.44      (6.5\\%)   11.2\\% (   0\\% -   22\\%)\n            HighSpanNear        9.43      (3.6\\%)       10.76      (7.5\\%)   14.0\\% (   2\\% -   25\\%)','irrelevant'
'Oops, I thought by now ArrayList would be JIT-ed away, thanks.','irrelevant'
"Also the UOE's in the NearSpansOrdered payload methods have gone in this patch, I had put these in to check the tests.",'relevant'
"I removed the UOE because now the no-payload impl is used if a segment doesn't happen to have any payloads.",'relevant'
'But this is valid, the documents might just not have any.','relevant'
"+1 too bad we can't expect ArrayList to always perform like a plain array",'relevant'
"Commit 1671078 from Robert Muir in branch 'dev/trunk'\n[ https://svn.apache.org/r1671078 ]\nLUCENE-6388: Optimize SpanNearQuery",'irrelevant'
"Commit 1671081 from Robert Muir in branch 'dev/branches/branch_5x'\n[ https://svn.apache.org/r1671081 ]\nLUCENE-6388: Optimize SpanNearQuery",'irrelevant'
'For now the check is implemented via Terms.getPayloads() until LUCENE-6390 is fixed.','relevant'
'Bulk close for 5.3.0 release','relevant'
'I had started seeing if we could implicitely wrap with ConstantScorer but there seem to be a couple of places that call score() when needsScores is false.','relevant'
"Here is another alternative that still stops calling matches() after the first matching clause is found but now also pretends there is a single matching clause so that score() won't fail.",'relevant'
'This is the smallest viable fix I can think of for https://builds.apache.org/job/Lucene-Solr-NightlyTests-5.x/775/.','relevant'
"But we should probably think about better fixes for the future and avoid calling score() when it's not needed.",'relevant'
'I opened LUCENE-6330 to tackle BooleanScorer (and maybe others).','relevant'
"Commit 1663756 from Adrien Grand in branch 'dev/trunk'\n[ https://svn.apache.org/r1663756 ]\nLUCENE-6329: Calling score() should be ok even if needsScores is false.",'irrelevant'
"Commit 1663757 from Adrien Grand in branch 'dev/branches/branch_5x'\n[ https://svn.apache.org/r1663757 ]\nLUCENE-6329: Calling score() should be ok even if needsScores is false.",'irrelevant'
'Bulk close after 5.1 release','relevant'
'Here was my first patch (moved from LUCENE-6320).','relevant'
